source_file,start_s,end_s,label,score,class,class_prob,det_prob,high_freq,low_freq,path,te_factor
00001_myotis_alcathoe_0_1.0.wav,0.3455,0.3486,present,0.611,Myotis alcathoe,0.525,0.611,72116,44375,/Users/alastairpickering/Desktop/Alastair/PhD/bct_1_sec/audio/00001_myotis_alcathoe_0_1.0.wav,1.0
00001_myotis_alcathoe_0_1.0.wav,0.4365,0.4395,present,0.634,Myotis alcathoe,0.531,0.634,76375,46093,/Users/alastairpickering/Desktop/Alastair/PhD/bct_1_sec/audio/00001_myotis_alcathoe_0_1.0.wav,1.0
00001_myotis_alcathoe_0_1.0.wav,0.5305,0.5337,present,0.613,Myotis alcathoe,0.519,0.613,72772,45234,/Users/alastairpickering/Desktop/Alastair/PhD/bct_1_sec/audio/00001_myotis_alcathoe_0_1.0.wav,1.0
00001_myotis_alcathoe_0_1.0.wav,0.7785,0.7818,present,0.64,Myotis alcathoe,0.543,0.64,76382,44375,/Users/alastairpickering/Desktop/Alastair/PhD/bct_1_sec/audio/00001_myotis_alcathoe_0_1.0.wav,1.0
00001_myotis_alcathoe_0_1.0.wav,0.8935,0.8966,present,0.607,Myotis alcathoe,0.513,0.607,72120,45234,/Users/alastairpickering/Desktop/Alastair/PhD/bct_1_sec/audio/00001_myotis_alcathoe_0_1.0.wav,1.0
00001_myotis_alcathoe_0_1.0.wav,0.9565,0.96,present,0.64,Myotis alcathoe,0.56,0.64,76346,42656,/Users/alastairpickering/Desktop/Alastair/PhD/bct_1_sec/audio/00001_myotis_alcathoe_0_1.0.wav,1.0
00002_myotis_alcathoe_0_1.0.wav,0.3325,0.349,present,0.711,Nyctalus leisleri,0.685,0.711,31141,28906,/Users/alastairpickering/Desktop/Alastair/PhD/bct_1_sec/audio/00002_myotis_alcathoe_0_1.0.wav,1.0
00005_barbastellus_barbastellus_0_1.0.wav,0.3835,0.3888,present,0.661,Barbastellus barbastellus,0.65,0.661,39454,30625,/Users/alastairpickering/Desktop/Alastair/PhD/bct_1_sec/audio/00005_barbastellus_barbastellus_0_1.0.wav,1.0
00005_barbastellus_barbastellus_0_1.0.wav,0.4975,0.5026,present,0.727,Barbastellus barbastellus,0.717,0.727,40262,30625,/Users/alastairpickering/Desktop/Alastair/PhD/bct_1_sec/audio/00005_barbastellus_barbastellus_0_1.0.wav,1.0
00005_barbastellus_barbastellus_0_1.0.wav,0.6025,0.6082,present,0.704,Barbastellus barbastellus,0.67,0.704,39771,30625,/Users/alastairpickering/Desktop/Alastair/PhD/bct_1_sec/audio/00005_barbastellus_barbastellus_0_1.0.wav,1.0
00005_barbastellus_barbastellus_0_1.0.wav,0.7105,0.7162,present,0.743,Barbastellus barbastellus,0.707,0.743,40389,29765,/Users/alastairpickering/Desktop/Alastair/PhD/bct_1_sec/audio/00005_barbastellus_barbastellus_0_1.0.wav,1.0
00005_barbastellus_barbastellus_0_1.0.wav,0.8225,0.8278,present,0.782,Barbastellus barbastellus,0.75,0.782,39711,28906,/Users/alastairpickering/Desktop/Alastair/PhD/bct_1_sec/audio/00005_barbastellus_barbastellus_0_1.0.wav,1.0
00006_barbastellus_barbastellus_0_1.0.wav,0.4995,0.5042,present,0.663,Barbastellus barbastellus,0.626,0.663,39537,31484,/Users/alastairpickering/Desktop/Alastair/PhD/bct_1_sec/audio/00006_barbastellus_barbastellus_0_1.0.wav,1.0
00006_barbastellus_barbastellus_0_1.0.wav,0.7185,0.7225,present,0.565,Barbastellus barbastellus,0.551,0.565,38831,29765,/Users/alastairpickering/Desktop/Alastair/PhD/bct_1_sec/audio/00006_barbastellus_barbastellus_0_1.0.wav,1.0
00006_barbastellus_barbastellus_0_1.0.wav,0.7465,0.7519,present,0.586,Barbastellus barbastellus,0.505,0.586,40655,31484,/Users/alastairpickering/Desktop/Alastair/PhD/bct_1_sec/audio/00006_barbastellus_barbastellus_0_1.0.wav,1.0
00006_barbastellus_barbastellus_0_1.0.wav,0.8595,0.8643,present,0.704,Barbastellus barbastellus,0.59,0.704,42494,32343,/Users/alastairpickering/Desktop/Alastair/PhD/bct_1_sec/audio/00006_barbastellus_barbastellus_0_1.0.wav,1.0
00006_barbastellus_barbastellus_0_1.0.wav,0.9325,0.9367,present,0.701,Barbastellus barbastellus,0.656,0.701,39418,30625,/Users/alastairpickering/Desktop/Alastair/PhD/bct_1_sec/audio/00006_barbastellus_barbastellus_0_1.0.wav,1.0
00007_barbastellus_barbastellus_0_1.0.wav,0.1805,0.1857,present,0.581,Barbastellus barbastellus,0.568,0.581,38626,31484,/Users/alastairpickering/Desktop/Alastair/PhD/bct_1_sec/audio/00007_barbastellus_barbastellus_0_1.0.wav,1.0
00007_barbastellus_barbastellus_0_1.0.wav,0.2975,0.3024,present,0.751,Barbastellus barbastellus,0.736,0.751,39309,30625,/Users/alastairpickering/Desktop/Alastair/PhD/bct_1_sec/audio/00007_barbastellus_barbastellus_0_1.0.wav,1.0
00007_barbastellus_barbastellus_0_1.0.wav,0.3965,0.4012,present,0.764,Barbastellus barbastellus,0.754,0.764,39211,29765,/Users/alastairpickering/Desktop/Alastair/PhD/bct_1_sec/audio/00007_barbastellus_barbastellus_0_1.0.wav,1.0
00007_barbastellus_barbastellus_0_1.0.wav,0.4435,0.4481,present,0.592,Barbastellus barbastellus,0.583,0.592,44931,36640,/Users/alastairpickering/Desktop/Alastair/PhD/bct_1_sec/audio/00007_barbastellus_barbastellus_0_1.0.wav,1.0
00007_barbastellus_barbastellus_0_1.0.wav,0.4995,0.5046,present,0.748,Barbastellus barbastellus,0.738,0.748,39170,29765,/Users/alastairpickering/Desktop/Alastair/PhD/bct_1_sec/audio/00007_barbastellus_barbastellus_0_1.0.wav,1.0
00007_barbastellus_barbastellus_0_1.0.wav,0.6135,0.6177,present,0.772,Barbastellus barbastellus,0.762,0.772,39032,30625,/Users/alastairpickering/Desktop/Alastair/PhD/bct_1_sec/audio/00007_barbastellus_barbastellus_0_1.0.wav,1.0
