filename,FinalLabel,PredictedClip,date_time,recorder_id,station_name,utm_x,utm_y,UserLabel
20250407_075620,present,present,20250407_075620,20250407,0,0,0,
20250407_094335,present,present,20250407_094335,20250407,0,0,0,
2mm02629_20241107_135707,absent,absent,20241107_135707,2MM02629,Power line near Koh kong,364043,1302523,
2mm02629_20241107_135740,absent,absent,20241107_135740,2MM02629,Power line near Koh kong,364043,1302523,
2mm02629_20241107_140000,absent,absent,20241107_140000,2MM02629,Power line near Koh kong,364043,1302523,
2mm02629_20241107_140300,absent,present,20241107_140300,2MM02629,Power line near Koh kong,364043,1302523,
2mm02629_20241107_140600,absent,absent,20241107_140600,2MM02629,Power line near Koh kong,364043,1302523,
2mm02629_20241107_140900,absent,absent,20241107_140900,2MM02629,Power line near Koh kong,364043,1302523,
2mm02629_20241107_141200,absent,absent,20241107_141200,2MM02629,Power line near Koh kong,364043,1302523,
2mm02629_20241107_141500,absent,absent,20241107_141500,2MM02629,Power line near Koh kong,364043,1302523,
2mm02629_20241107_141800,absent,absent,20241107_141800,2MM02629,Power line near Koh kong,364043,1302523,
2mm02629_20241107_142100,absent,absent,20241107_142100,2MM02629,Power line near Koh kong,364043,1302523,
2mm02629_20241107_142400,absent,absent,20241107_142400,2MM02629,Power line near Koh kong,364043,1302523,
2mm02629_20241107_142700,absent,absent,20241107_142700,2MM02629,Power line near Koh kong,364043,1302523,
2mm02629_20241108_050000,absent,absent,20241108_050000,2MM02629,Power line near Koh kong,364043,1302523,
2mm02629_20241108_050000 2,absent,absent,20241108_050000 2,2MM02629,Power line near Koh kong,364043,1302523,
2mm02629_20241108_050300,absent,absent,20241108_050300,2MM02629,Power line near Koh kong,364043,1302523,
2mm02629_20241108_050600,absent,absent,20241108_050600,2MM02629,Power line near Koh kong,364043,1302523,
2mm02629_20241108_050900,absent,absent,20241108_050900,2MM02629,Power line near Koh kong,364043,1302523,
2mm02629_20241108_051200,absent,absent,20241108_051200,2MM02629,Power line near Koh kong,364043,1302523,
2mm02629_20241108_051500,absent,absent,20241108_051500,2MM02629,Power line near Koh kong,364043,1302523,
2mm02629_20241108_051800,absent,absent,20241108_051800,2MM02629,Power line near Koh kong,364043,1302523,
2mm02629_20241108_052100,absent,absent,20241108_052100,2MM02629,Power line near Koh kong,364043,1302523,
2mm02629_20241108_052400,absent,absent,20241108_052400,2MM02629,Power line near Koh kong,364043,1302523,
2mm02629_20241108_052700,absent,absent,20241108_052700,2MM02629,Power line near Koh kong,364043,1302523,
2mm02629_20241108_053000,absent,absent,20241108_053000,2MM02629,Power line near Koh kong,364043,1302523,
2mm02629_20241108_053300,absent,absent,20241108_053300,2MM02629,Power line near Koh kong,364043,1302523,
2mm02629_20241108_053600,absent,absent,20241108_053600,2MM02629,Power line near Koh kong,364043,1302523,
2mm02629_20241108_053900,absent,absent,20241108_053900,2MM02629,Power line near Koh kong,364043,1302523,
2mm02629_20241108_054200,absent,absent,20241108_054200,2MM02629,Power line near Koh kong,364043,1302523,
2mm02629_20241108_054500,absent,absent,20241108_054500,2MM02629,Power line near Koh kong,364043,1302523,
2mm02629_20241108_054800,absent,absent,20241108_054800,2MM02629,Power line near Koh kong,364043,1302523,
2mm02629_20241108_055100,absent,absent,20241108_055100,2MM02629,Power line near Koh kong,364043,1302523,
2mm02629_20241108_055400,absent,absent,20241108_055400,2MM02629,Power line near Koh kong,364043,1302523,
2mm02629_20241108_055700,absent,absent,20241108_055700,2MM02629,Power line near Koh kong,364043,1302523,
2mm02629_20241108_060000,absent,absent,20241108_060000,2MM02629,Power line near Koh kong,364043,1302523,
2mm02629_20241108_060300,absent,absent,20241108_060300,2MM02629,Power line near Koh kong,364043,1302523,
2mm02629_20241108_060600,absent,absent,20241108_060600,2MM02629,Power line near Koh kong,364043,1302523,
2mm02629_20241108_060900,absent,absent,20241108_060900,2MM02629,Power line near Koh kong,364043,1302523,
2mm02629_20241108_061200,absent,absent,20241108_061200,2MM02629,Power line near Koh kong,364043,1302523,
2mm02629_20241108_061500,absent,absent,20241108_061500,2MM02629,Power line near Koh kong,364043,1302523,
2mm02629_20241108_061800,absent,absent,20241108_061800,2MM02629,Power line near Koh kong,364043,1302523,
2mm02629_20241108_062100,absent,absent,20241108_062100,2MM02629,Power line near Koh kong,364043,1302523,
2mm02629_20241108_062400,absent,absent,20241108_062400,2MM02629,Power line near Koh kong,364043,1302523,
2mm02629_20241108_062700,absent,absent,20241108_062700,2MM02629,Power line near Koh kong,364043,1302523,
2mm02629_20241108_063000,absent,absent,20241108_063000,2MM02629,Power line near Koh kong,364043,1302523,
2mm02629_20241108_063300,absent,absent,20241108_063300,2MM02629,Power line near Koh kong,364043,1302523,
2mm02629_20241108_063600,absent,absent,20241108_063600,2MM02629,Power line near Koh kong,364043,1302523,
2mm02629_20241108_063900,absent,absent,20241108_063900,2MM02629,Power line near Koh kong,364043,1302523,
2mm02629_20241108_064200,absent,absent,20241108_064200,2MM02629,Power line near Koh kong,364043,1302523,
2mm02629_20241108_064500,absent,absent,20241108_064500,2MM02629,Power line near Koh kong,364043,1302523,
2mm02629_20241108_064800,absent,absent,20241108_064800,2MM02629,Power line near Koh kong,364043,1302523,
2mm02629_20241108_065100,absent,absent,20241108_065100,2MM02629,Power line near Koh kong,364043,1302523,
2mm02629_20241108_065400,absent,absent,20241108_065400,2MM02629,Power line near Koh kong,364043,1302523,
2mm02629_20241108_065700,absent,absent,20241108_065700,2MM02629,Power line near Koh kong,364043,1302523,
2mm02629_20241108_070000,absent,absent,20241108_070000,2MM02629,Power line near Koh kong,364043,1302523,
2mm02629_20241108_070300,absent,absent,20241108_070300,2MM02629,Power line near Koh kong,364043,1302523,
2mm02629_20241108_070600,absent,absent,20241108_070600,2MM02629,Power line near Koh kong,364043,1302523,
2mm02629_20241108_070900,absent,absent,20241108_070900,2MM02629,Power line near Koh kong,364043,1302523,
2mm02629_20241108_071200,absent,absent,20241108_071200,2MM02629,Power line near Koh kong,364043,1302523,
2mm02629_20241108_071500,absent,absent,20241108_071500,2MM02629,Power line near Koh kong,364043,1302523,
2mm02629_20241108_071800,absent,absent,20241108_071800,2MM02629,Power line near Koh kong,364043,1302523,
2mm02629_20241108_072100,absent,present,20241108_072100,2MM02629,Power line near Koh kong,364043,1302523,
2mm02629_20241108_072400,absent,absent,20241108_072400,2MM02629,Power line near Koh kong,364043,1302523,
2mm02629_20241108_072700,absent,absent,20241108_072700,2MM02629,Power line near Koh kong,364043,1302523,
2mm02629_20241108_073000,absent,absent,20241108_073000,2MM02629,Power line near Koh kong,364043,1302523,
2mm02629_20241108_073300,absent,absent,20241108_073300,2MM02629,Power line near Koh kong,364043,1302523,
2mm02629_20241108_073600,absent,absent,20241108_073600,2MM02629,Power line near Koh kong,364043,1302523,
2mm02629_20241108_073900,absent,absent,20241108_073900,2MM02629,Power line near Koh kong,364043,1302523,
2mm02629_20241108_074200,absent,present,20241108_074200,2MM02629,Power line near Koh kong,364043,1302523,
2mm02629_20241108_074500,absent,absent,20241108_074500,2MM02629,Power line near Koh kong,364043,1302523,
2mm02629_20241108_074800,absent,absent,20241108_074800,2MM02629,Power line near Koh kong,364043,1302523,
2mm02629_20241108_075100,absent,absent,20241108_075100,2MM02629,Power line near Koh kong,364043,1302523,
2mm02629_20241108_075400,absent,absent,20241108_075400,2MM02629,Power line near Koh kong,364043,1302523,
2mm02629_20241108_075700,absent,absent,20241108_075700,2MM02629,Power line near Koh kong,364043,1302523,
2mm02629_20241108_080000,absent,absent,20241108_080000,2MM02629,Power line near Koh kong,364043,1302523,
2mm02629_20241108_080300,absent,absent,20241108_080300,2MM02629,Power line near Koh kong,364043,1302523,
2mm02629_20241108_080600,absent,absent,20241108_080600,2MM02629,Power line near Koh kong,364043,1302523,
2mm02629_20241108_080900,absent,absent,20241108_080900,2MM02629,Power line near Koh kong,364043,1302523,
2mm02629_20241108_081200,absent,present,20241108_081200,2MM02629,Power line near Koh kong,364043,1302523,
2mm02629_20241108_081500,absent,absent,20241108_081500,2MM02629,Power line near Koh kong,364043,1302523,
2mm02629_20241108_081800,absent,absent,20241108_081800,2MM02629,Power line near Koh kong,364043,1302523,
2mm02629_20241108_082100,absent,absent,20241108_082100,2MM02629,Power line near Koh kong,364043,1302523,
2mm02629_20241108_082400,absent,absent,20241108_082400,2MM02629,Power line near Koh kong,364043,1302523,
2mm02629_20241108_082700,absent,absent,20241108_082700,2MM02629,Power line near Koh kong,364043,1302523,
2mm02629_20241108_083000,absent,absent,20241108_083000,2MM02629,Power line near Koh kong,364043,1302523,
2mm02629_20241108_083300,absent,absent,20241108_083300,2MM02629,Power line near Koh kong,364043,1302523,
2mm02629_20241108_083600,absent,absent,20241108_083600,2MM02629,Power line near Koh kong,364043,1302523,
2mm02629_20241108_083900,absent,absent,20241108_083900,2MM02629,Power line near Koh kong,364043,1302523,
2mm02629_20241108_084200,absent,absent,20241108_084200,2MM02629,Power line near Koh kong,364043,1302523,
2mm02629_20241108_084500,absent,absent,20241108_084500,2MM02629,Power line near Koh kong,364043,1302523,
2mm02629_20241108_084800,absent,absent,20241108_084800,2MM02629,Power line near Koh kong,364043,1302523,
2mm02629_20241108_085100,absent,absent,20241108_085100,2MM02629,Power line near Koh kong,364043,1302523,
2mm02629_20241108_085400,absent,absent,20241108_085400,2MM02629,Power line near Koh kong,364043,1302523,
2mm02629_20241108_085700,absent,absent,20241108_085700,2MM02629,Power line near Koh kong,364043,1302523,
2mm02629_20241108_090000,absent,absent,20241108_090000,2MM02629,Power line near Koh kong,364043,1302523,
2mm02629_20241108_090300,absent,absent,20241108_090300,2MM02629,Power line near Koh kong,364043,1302523,
2mm02629_20241108_090600,absent,absent,20241108_090600,2MM02629,Power line near Koh kong,364043,1302523,
2mm02629_20241108_090900,absent,absent,20241108_090900,2MM02629,Power line near Koh kong,364043,1302523,
2mm02629_20241108_091200,absent,absent,20241108_091200,2MM02629,Power line near Koh kong,364043,1302523,
2mm02629_20241108_091500,absent,absent,20241108_091500,2MM02629,Power line near Koh kong,364043,1302523,
2mm02629_20241108_091800,absent,absent,20241108_091800,2MM02629,Power line near Koh kong,364043,1302523,
2mm02629_20241108_092100,absent,absent,20241108_092100,2MM02629,Power line near Koh kong,364043,1302523,
2mm02629_20241108_092400,absent,absent,20241108_092400,2MM02629,Power line near Koh kong,364043,1302523,
2mm02629_20241108_092700,absent,absent,20241108_092700,2MM02629,Power line near Koh kong,364043,1302523,
2mm02629_20241108_093000,absent,absent,20241108_093000,2MM02629,Power line near Koh kong,364043,1302523,
2mm02629_20241108_093000 2,absent,absent,20241108_093000 2,2MM02629,Power line near Koh kong,364043,1302523,
2mm02629_20241108_093300,absent,absent,20241108_093300,2MM02629,Power line near Koh kong,364043,1302523,
2mm02629_20241108_093600,absent,absent,20241108_093600,2MM02629,Power line near Koh kong,364043,1302523,
2mm02629_20241108_093900,absent,absent,20241108_093900,2MM02629,Power line near Koh kong,364043,1302523,
2mm02629_20241108_094200,absent,absent,20241108_094200,2MM02629,Power line near Koh kong,364043,1302523,
2mm02629_20241108_094500,absent,absent,20241108_094500,2MM02629,Power line near Koh kong,364043,1302523,
2mm02629_20241108_094800,absent,absent,20241108_094800,2MM02629,Power line near Koh kong,364043,1302523,
2mm02629_20241108_095100,absent,absent,20241108_095100,2MM02629,Power line near Koh kong,364043,1302523,
2mm02629_20241108_095400,absent,absent,20241108_095400,2MM02629,Power line near Koh kong,364043,1302523,
2mm02629_20241108_095700,absent,absent,20241108_095700,2MM02629,Power line near Koh kong,364043,1302523,
2mm02629_20241108_100000,absent,absent,20241108_100000,2MM02629,Power line near Koh kong,364043,1302523,
2mm02629_20241108_100300,absent,absent,20241108_100300,2MM02629,Power line near Koh kong,364043,1302523,
2mm02629_20241108_100600,absent,absent,20241108_100600,2MM02629,Power line near Koh kong,364043,1302523,
2mm02629_20241108_100900,absent,absent,20241108_100900,2MM02629,Power line near Koh kong,364043,1302523,
2mm02629_20241108_101200,absent,absent,20241108_101200,2MM02629,Power line near Koh kong,364043,1302523,
2mm02629_20241108_101500,absent,absent,20241108_101500,2MM02629,Power line near Koh kong,364043,1302523,
2mm02629_20241108_101800,absent,absent,20241108_101800,2MM02629,Power line near Koh kong,364043,1302523,
2mm02629_20241108_102100,absent,absent,20241108_102100,2MM02629,Power line near Koh kong,364043,1302523,
2mm02629_20241108_102400,absent,absent,20241108_102400,2MM02629,Power line near Koh kong,364043,1302523,
2mm02629_20241108_102700,absent,absent,20241108_102700,2MM02629,Power line near Koh kong,364043,1302523,
2mm02629_20241108_103000,absent,absent,20241108_103000,2MM02629,Power line near Koh kong,364043,1302523,
2mm02629_20241108_103300,absent,absent,20241108_103300,2MM02629,Power line near Koh kong,364043,1302523,
2mm02629_20241108_103600,present,present,20241108_103600,2MM02629,Power line near Koh kong,364043,1302523,
2mm02629_20241108_103900,present,present,20241108_103900,2MM02629,Power line near Koh kong,364043,1302523,
2mm02629_20241108_104200,absent,absent,20241108_104200,2MM02629,Power line near Koh kong,364043,1302523,
2mm02629_20241108_104500,absent,absent,20241108_104500,2MM02629,Power line near Koh kong,364043,1302523,
2mm02629_20241108_104800,absent,absent,20241108_104800,2MM02629,Power line near Koh kong,364043,1302523,
2mm02629_20241108_105100,absent,absent,20241108_105100,2MM02629,Power line near Koh kong,364043,1302523,
2mm02629_20241108_105400,absent,absent,20241108_105400,2MM02629,Power line near Koh kong,364043,1302523,
2mm02629_20241108_105700,absent,absent,20241108_105700,2MM02629,Power line near Koh kong,364043,1302523,
2mm02629_20241108_110000,absent,absent,20241108_110000,2MM02629,Power line near Koh kong,364043,1302523,
