recorder_id,_date,n_segments,minutes
2MM02629,2024-11-07,71,11.833333333333332
2MM02629,2024-11-08,1176,196.0
2MM02629,2024-11-09,1170,195.0
2MM02629,2024-11-10,1140,190.0
2MM02629,2024-11-11,865,144.16666666666666
2MM02922,2025-04-25,7,1.1666666666666665
2MM02967,2024-10-27,3991,665.1666666666666
2MM02967,2024-10-28,8640,1440.0
2MM02967,2024-10-29,4110,685.0
2MM03008,2024-11-08,1140,190.0
2MM03008,2024-11-09,1140,190.0
2MM03008,2024-11-10,1140,190.0
2MM03008,2024-11-11,1140,190.0
2MM03008,2024-11-12,396,66.0
2MM03293,2024-10-27,5395,899.1666666666666
2MM03293,2024-10-28,648,108.0
2MM03346,2024-11-07,372,62.0
2MM03346,2024-11-08,1032,172.0
2MM03346,2024-11-09,570,95.0
2MM03346,2024-11-10,630,105.0
2MM03352,2024-12-12,2004,334.0
2MM03352,2024-12-13,3240,540.0
2MM03352,2024-12-14,1472,245.33333333333331
2MM03352,2025-04-21,15,2.5
2MM03352,2025-04-25,14,2.333333333333333
2MM03358,2024-10-27,4704,784.0
2MM03358,2024-10-28,1460,243.33333333333331
CCMNP-S-B2,2025-04-21,2,0.3333333333333333
CCMNP-S-B4,2025-05-03,2,0.3333333333333333
CCMNP-S-R,2025-04-21,7,1.1666666666666665
CCMNP-S-R,2025-04-25,17,2.833333333333333
CCMNP-S-R,2025-05-13,43,7.166666666666666
CCMNP-S-R1,2025-05-13,15,2.5
CCMNP-S-R1,2025-05-14,3504,584.0
CCMNP-S-R1,2025-05-15,8640,1440.0
CCMNP-S-R1,2025-05-16,3704,617.3333333333333
CCMNP-S-R10,2025-05-03,3689,614.8333333333333
CCMNP-S-R10,2025-05-04,4632,772.0
CCMNP-S-R12,2025-05-02,5524,920.6666666666666
CCMNP-S-R12,2025-05-03,8640,1440.0
CCMNP-S-R12,2025-05-04,8640,1440.0
CCMNP-S-R12,2025-05-05,330,55.0
CCMNP-S-R3,2025-05-13,4093,682.1666666666666
CCMNP-S-R3,2025-05-14,8640,1440.0
CCMNP-S-R3,2025-05-15,8652,1442.0
CCMNP-S-R3,2025-05-16,1814,302.3333333333333
CCMNP-S-R5,2025-04-25,2741,456.8333333333333
CCMNP-S-R5,2025-04-26,8154,1359.0
CCMNP-S-R5,2025-04-27,3702,617.0
CCMNP-S-R7,2025-04-25,4634,772.3333333333333
CCMNP-S-R7,2025-04-26,8640,1440.0
CCMNP-S-R7,2025-04-27,3159,526.5
CCMNP-S-R7,2025-05-14,8,1.3333333333333333
CCMNP-S-R8,2025-04-25,4679,779.8333333333333
CCMNP-S-R8,2025-04-26,8640,1440.0
CCMNP-S-R8,2025-04-27,3618,603.0
