id,det_prob,start_time,end_time,high_freq,low_freq,class,class_prob,_source_csv,source_file,file_id,file_path,detection_start_s,detection_end_s,species_name,detection_probability,presence_label,detection_id,start_s,end_s,label,score,path
0,0.033,0.0015,0.0084,59472,48671,Pipistrellus pipistrellus,0.025,/Users/alastairpickering/Desktop/Alastair/PhD/bct_1_sec/predictions/00235_eptesicus_serotinus_0_1.0.wav.csv,00235_eptesicus_serotinus_0_1.0.wav.csv,00235_eptesicus_serotinus_0_1.0.wav.csv,,,,Pipistrellus pipistrellus,0.033,absent,00235_eptesicus_serotinus_0_1.0.wav.csv#nan-nan,,,absent,0.033,
1,0.037,0.0015,0.0303,115330,93359,Rhinolophus hipposideros,0.037,/Users/alastairpickering/Desktop/Alastair/PhD/bct_1_sec/predictions/00235_eptesicus_serotinus_0_1.0.wav.csv,00235_eptesicus_serotinus_0_1.0.wav.csv,00235_eptesicus_serotinus_0_1.0.wav.csv,,,,Rhinolophus hipposideros,0.037,absent,00235_eptesicus_serotinus_0_1.0.wav.csv#nan-nan,,,absent,0.037,
2,0.038,0.0015,0.0115,38633,30625,Myotis daubentonii,0.01,/Users/alastairpickering/Desktop/Alastair/PhD/bct_1_sec/predictions/00235_eptesicus_serotinus_0_1.0.wav.csv,00235_eptesicus_serotinus_0_1.0.wav.csv,00235_eptesicus_serotinus_0_1.0.wav.csv,,,,Myotis daubentonii,0.038,absent,00235_eptesicus_serotinus_0_1.0.wav.csv#nan-nan,,,absent,0.038,
3,0.057,0.0015,0.0352,80489,68437,Rhinolophus ferrumequinum,0.057,/Users/alastairpickering/Desktop/Alastair/PhD/bct_1_sec/predictions/00235_eptesicus_serotinus_0_1.0.wav.csv,00235_eptesicus_serotinus_0_1.0.wav.csv,00235_eptesicus_serotinus_0_1.0.wav.csv,,,,Rhinolophus ferrumequinum,0.057,absent,00235_eptesicus_serotinus_0_1.0.wav.csv#nan-nan,,,absent,0.057,
4,0.037,0.0145,0.0552,82598,68437,Rhinolophus ferrumequinum,0.037,/Users/alastairpickering/Desktop/Alastair/PhD/bct_1_sec/predictions/00235_eptesicus_serotinus_0_1.0.wav.csv,00235_eptesicus_serotinus_0_1.0.wav.csv,00235_eptesicus_serotinus_0_1.0.wav.csv,,,,Rhinolophus ferrumequinum,0.037,absent,00235_eptesicus_serotinus_0_1.0.wav.csv#nan-nan,,,absent,0.037,
5,0.035,0.0635,0.0953,111366,93359,Rhinolophus hipposideros,0.035,/Users/alastairpickering/Desktop/Alastair/PhD/bct_1_sec/predictions/00235_eptesicus_serotinus_0_1.0.wav.csv,00235_eptesicus_serotinus_0_1.0.wav.csv,00235_eptesicus_serotinus_0_1.0.wav.csv,,,,Rhinolophus hipposideros,0.035,absent,00235_eptesicus_serotinus_0_1.0.wav.csv#nan-nan,,,absent,0.035,
6,0.03,0.0685,0.0784,37044,28046,Eptesicus serotinus,0.011,/Users/alastairpickering/Desktop/Alastair/PhD/bct_1_sec/predictions/00235_eptesicus_serotinus_0_1.0.wav.csv,00235_eptesicus_serotinus_0_1.0.wav.csv,00235_eptesicus_serotinus_0_1.0.wav.csv,,,,Eptesicus serotinus,0.03,absent,00235_eptesicus_serotinus_0_1.0.wav.csv#nan-nan,,,absent,0.03,
7,0.032,0.0715,0.1021,110895,93359,Rhinolophus hipposideros,0.032,/Users/alastairpickering/Desktop/Alastair/PhD/bct_1_sec/predictions/00235_eptesicus_serotinus_0_1.0.wav.csv,00235_eptesicus_serotinus_0_1.0.wav.csv,00235_eptesicus_serotinus_0_1.0.wav.csv,,,,Rhinolophus hipposideros,0.032,absent,00235_eptesicus_serotinus_0_1.0.wav.csv#nan-nan,,,absent,0.032,
8,0.027,0.0785,0.0897,34336,27187,Eptesicus serotinus,0.013,/Users/alastairpickering/Desktop/Alastair/PhD/bct_1_sec/predictions/00235_eptesicus_serotinus_0_1.0.wav.csv,00235_eptesicus_serotinus_0_1.0.wav.csv,00235_eptesicus_serotinus_0_1.0.wav.csv,,,,Eptesicus serotinus,0.027,absent,00235_eptesicus_serotinus_0_1.0.wav.csv#nan-nan,,,absent,0.027,
9,0.027,0.0885,0.1246,81760,68437,Rhinolophus ferrumequinum,0.027,/Users/alastairpickering/Desktop/Alastair/PhD/bct_1_sec/predictions/00235_eptesicus_serotinus_0_1.0.wav.csv,00235_eptesicus_serotinus_0_1.0.wav.csv,00235_eptesicus_serotinus_0_1.0.wav.csv,,,,Rhinolophus ferrumequinum,0.027,absent,00235_eptesicus_serotinus_0_1.0.wav.csv#nan-nan,,,absent,0.027,
10,0.027,0.1035,0.1427,82074,68437,Rhinolophus ferrumequinum,0.027,/Users/alastairpickering/Desktop/Alastair/PhD/bct_1_sec/predictions/00235_eptesicus_serotinus_0_1.0.wav.csv,00235_eptesicus_serotinus_0_1.0.wav.csv,00235_eptesicus_serotinus_0_1.0.wav.csv,,,,Rhinolophus ferrumequinum,0.027,absent,00235_eptesicus_serotinus_0_1.0.wav.csv#nan-nan,,,absent,0.027,
11,0.044,0.1235,0.1529,110483,93359,Rhinolophus hipposideros,0.044,/Users/alastairpickering/Desktop/Alastair/PhD/bct_1_sec/predictions/00235_eptesicus_serotinus_0_1.0.wav.csv,00235_eptesicus_serotinus_0_1.0.wav.csv,00235_eptesicus_serotinus_0_1.0.wav.csv,,,,Rhinolophus hipposideros,0.044,absent,00235_eptesicus_serotinus_0_1.0.wav.csv#nan-nan,,,absent,0.044,
12,0.061,0.1315,0.1725,82793,68437,Rhinolophus ferrumequinum,0.061,/Users/alastairpickering/Desktop/Alastair/PhD/bct_1_sec/predictions/00235_eptesicus_serotinus_0_1.0.wav.csv,00235_eptesicus_serotinus_0_1.0.wav.csv,00235_eptesicus_serotinus_0_1.0.wav.csv,,,,Rhinolophus ferrumequinum,0.061,absent,00235_eptesicus_serotinus_0_1.0.wav.csv#nan-nan,,,absent,0.061,
13,0.719,0.1325,0.1447,39448,27187,Eptesicus serotinus,0.552,/Users/alastairpickering/Desktop/Alastair/PhD/bct_1_sec/predictions/00235_eptesicus_serotinus_0_1.0.wav.csv,00235_eptesicus_serotinus_0_1.0.wav.csv,00235_eptesicus_serotinus_0_1.0.wav.csv,,,,Eptesicus serotinus,0.719,present,00235_eptesicus_serotinus_0_1.0.wav.csv#nan-nan,,,present,0.719,
14,0.039,0.1365,0.143,41311,34921,Myotis brandtii,0.009,/Users/alastairpickering/Desktop/Alastair/PhD/bct_1_sec/predictions/00235_eptesicus_serotinus_0_1.0.wav.csv,00235_eptesicus_serotinus_0_1.0.wav.csv,00235_eptesicus_serotinus_0_1.0.wav.csv,,,,Myotis brandtii,0.039,absent,00235_eptesicus_serotinus_0_1.0.wav.csv#nan-nan,,,absent,0.039,
15,0.045,0.1425,0.1504,37935,28046,Eptesicus serotinus,0.009,/Users/alastairpickering/Desktop/Alastair/PhD/bct_1_sec/predictions/00235_eptesicus_serotinus_0_1.0.wav.csv,00235_eptesicus_serotinus_0_1.0.wav.csv,00235_eptesicus_serotinus_0_1.0.wav.csv,,,,Eptesicus serotinus,0.045,absent,00235_eptesicus_serotinus_0_1.0.wav.csv#nan-nan,,,absent,0.045,
16,0.03,0.1575,0.1637,61696,55546,Pipistrellus pygmaeus,0.029,/Users/alastairpickering/Desktop/Alastair/PhD/bct_1_sec/predictions/00235_eptesicus_serotinus_0_1.0.wav.csv,00235_eptesicus_serotinus_0_1.0.wav.csv,00235_eptesicus_serotinus_0_1.0.wav.csv,,,,Pipistrellus pygmaeus,0.03,absent,00235_eptesicus_serotinus_0_1.0.wav.csv#nan-nan,,,absent,0.03,
17,0.029,0.1585,0.1891,111374,93359,Rhinolophus hipposideros,0.029,/Users/alastairpickering/Desktop/Alastair/PhD/bct_1_sec/predictions/00235_eptesicus_serotinus_0_1.0.wav.csv,00235_eptesicus_serotinus_0_1.0.wav.csv,00235_eptesicus_serotinus_0_1.0.wav.csv,,,,Rhinolophus hipposideros,0.029,absent,00235_eptesicus_serotinus_0_1.0.wav.csv#nan-nan,,,absent,0.029,
18,0.03,0.1925,0.2227,111315,93359,Rhinolophus hipposideros,0.03,/Users/alastairpickering/Desktop/Alastair/PhD/bct_1_sec/predictions/00235_eptesicus_serotinus_0_1.0.wav.csv,00235_eptesicus_serotinus_0_1.0.wav.csv,00235_eptesicus_serotinus_0_1.0.wav.csv,,,,Rhinolophus hipposideros,0.03,absent,00235_eptesicus_serotinus_0_1.0.wav.csv#nan-nan,,,absent,0.03,
19,0.03,0.1925,0.2296,82220,68437,Rhinolophus ferrumequinum,0.03,/Users/alastairpickering/Desktop/Alastair/PhD/bct_1_sec/predictions/00235_eptesicus_serotinus_0_1.0.wav.csv,00235_eptesicus_serotinus_0_1.0.wav.csv,00235_eptesicus_serotinus_0_1.0.wav.csv,,,,Rhinolophus ferrumequinum,0.03,absent,00235_eptesicus_serotinus_0_1.0.wav.csv#nan-nan,,,absent,0.03,
