file_id,file_path,detection_id,detection_start_s,detection_end_s,presence_label,species_name,detection_probability,start_time,end_time,high_freq,low_freq,_source_csv
00235_eptesicus_serotinus_0_1.0.wav.csv,,00235_eptesicus_serotinus_0_1.0.wav.csv:nan-nan,,,absent,Pipistrellus pipistrellus,0.033,0.0015,0.0084,59472,48671,/Users/alastairpickering/Desktop/Alastair/PhD/bct_1_sec/predictions/00235_eptesicus_serotinus_0_1.0.wav.csv
00235_eptesicus_serotinus_0_1.0.wav.csv,,00235_eptesicus_serotinus_0_1.0.wav.csv:nan-nan,,,absent,Rhinolophus hipposideros,0.037,0.0015,0.0303,115330,93359,/Users/alastairpickering/Desktop/Alastair/PhD/bct_1_sec/predictions/00235_eptesicus_serotinus_0_1.0.wav.csv
00235_eptesicus_serotinus_0_1.0.wav.csv,,00235_eptesicus_serotinus_0_1.0.wav.csv:nan-nan,,,absent,Myotis daubentonii,0.038,0.0015,0.0115,38633,30625,/Users/alastairpickering/Desktop/Alastair/PhD/bct_1_sec/predictions/00235_eptesicus_serotinus_0_1.0.wav.csv
00235_eptesicus_serotinus_0_1.0.wav.csv,,00235_eptesicus_serotinus_0_1.0.wav.csv:nan-nan,,,absent,Rhinolophus ferrumequinum,0.057,0.0015,0.0352,80489,68437,/Users/alastairpickering/Desktop/Alastair/PhD/bct_1_sec/predictions/00235_eptesicus_serotinus_0_1.0.wav.csv
00235_eptesicus_serotinus_0_1.0.wav.csv,,00235_eptesicus_serotinus_0_1.0.wav.csv:nan-nan,,,absent,Rhinolophus ferrumequinum,0.037,0.0145,0.0552,82598,68437,/Users/alastairpickering/Desktop/Alastair/PhD/bct_1_sec/predictions/00235_eptesicus_serotinus_0_1.0.wav.csv
00235_eptesicus_serotinus_0_1.0.wav.csv,,00235_eptesicus_serotinus_0_1.0.wav.csv:nan-nan,,,absent,Rhinolophus hipposideros,0.035,0.0635,0.0953,111366,93359,/Users/alastairpickering/Desktop/Alastair/PhD/bct_1_sec/predictions/00235_eptesicus_serotinus_0_1.0.wav.csv
00235_eptesicus_serotinus_0_1.0.wav.csv,,00235_eptesicus_serotinus_0_1.0.wav.csv:nan-nan,,,absent,Eptesicus serotinus,0.03,0.0685,0.0784,37044,28046,/Users/alastairpickering/Desktop/Alastair/PhD/bct_1_sec/predictions/00235_eptesicus_serotinus_0_1.0.wav.csv
00235_eptesicus_serotinus_0_1.0.wav.csv,,00235_eptesicus_serotinus_0_1.0.wav.csv:nan-nan,,,absent,Rhinolophus hipposideros,0.032,0.0715,0.1021,110895,93359,/Users/alastairpickering/Desktop/Alastair/PhD/bct_1_sec/predictions/00235_eptesicus_serotinus_0_1.0.wav.csv
00235_eptesicus_serotinus_0_1.0.wav.csv,,00235_eptesicus_serotinus_0_1.0.wav.csv:nan-nan,,,absent,Eptesicus serotinus,0.027,0.0785,0.0897,34336,27187,/Users/alastairpickering/Desktop/Alastair/PhD/bct_1_sec/predictions/00235_eptesicus_serotinus_0_1.0.wav.csv
00235_eptesicus_serotinus_0_1.0.wav.csv,,00235_eptesicus_serotinus_0_1.0.wav.csv:nan-nan,,,absent,Rhinolophus ferrumequinum,0.027,0.0885,0.1246,81760,68437,/Users/alastairpickering/Desktop/Alastair/PhD/bct_1_sec/predictions/00235_eptesicus_serotinus_0_1.0.wav.csv
