file_id,file_path,detection_id,detection_start_s,detection_end_s,presence_label,species_name,detection_probability,recorder_id,date_time,processed_at,segment_idx,embedding_file,audio_file,utm_x,utm_y,station_name,Elevation,habitat_type,location_situation
2MM03352_20250425_110545,/Users/alastairpickering/Desktop/gibbon/present_1/present/2MM03352_20250425_110545.wav,2MM03352_20250425_110545:10.000-15.000,10.0,15.0,present,1,0.789178192615509,2MM03352,20250425_110545,2025-08-15T13:34:14,1,,/Users/alastairpickering/gdrive_mount/pileated_gibbon_production/audio/2MM03352_20250425_110545.wav,,,,,,
CCMNP-S-R10_20250503_142302,/Users/alastairpickering/Desktop/gibbon/present_1/present/CCMNP-S-R10_20250503_142302.wav,CCMNP-S-R10_20250503_142302:0.000-10.000,0.0,10.0,present,1,0.7600002884864807,CCMNP-S-R10,20250503_142302,2025-08-15T13:39:47,0,,/Users/alastairpickering/gdrive_mount/pileated_gibbon_production/audio/CCMNP-S-R10_20250503_142302.wav,,,,,,
CCMNP-S-R10_20250504_051402,/Users/alastairpickering/Desktop/gibbon/present_1/present/CCMNP-S-R10_20250504_051402.wav,CCMNP-S-R10_20250504_051402:10.000-20.000,10.0,20.0,present,1,0.718428909778595,CCMNP-S-R10,20250504_051402,2025-08-15T15:09:17,1,,/Users/alastairpickering/gdrive_mount/pileated_gibbon_production/audio/CCMNP-S-R10_20250504_051402.wav,,,,,,
CCMNP-S-R10_20250504_052102,/Users/alastairpickering/Desktop/gibbon/present_1/present/CCMNP-S-R10_20250504_052102.wav,CCMNP-S-R10_20250504_052102:0.000-10.000,0.0,10.0,present,1,0.7087662816047668,CCMNP-S-R10,20250504_052102,2025-08-15T15:09:43,0,,/Users/alastairpickering/gdrive_mount/pileated_gibbon_production/audio/CCMNP-S-R10_20250504_052102.wav,,,,,,
CCMNP-S-R10_20250504_061502,/Users/alastairpickering/Desktop/gibbon/present_1/present/CCMNP-S-R10_20250504_061502.wav,CCMNP-S-R10_20250504_061502:50.000-58.000,50.0,58.0,present,1,0.8562132716178894,CCMNP-S-R10,20250504_061502,2025-08-15T15:16:33,5,,/Users/alastairpickering/gdrive_mount/pileated_gibbon_production/audio/CCMNP-S-R10_20250504_061502.wav,,,,,,
CCMNP-S-R10_20250504_062202,/Users/alastairpickering/Desktop/gibbon/present_1/present/CCMNP-S-R10_20250504_062202.wav,CCMNP-S-R10_20250504_062202:0.000-10.000,0.0,10.0,present,1,0.7149600982666016,CCMNP-S-R10,20250504_062202,2025-08-15T15:16:33,0,,/Users/alastairpickering/gdrive_mount/pileated_gibbon_production/audio/CCMNP-S-R10_20250504_062202.wav,,,,,,
CCMNP-S-R10_20250504_063002,/Users/alastairpickering/Desktop/gibbon/present_1/present/CCMNP-S-R10_20250504_063002.wav,CCMNP-S-R10_20250504_063002:0.000-10.000,0.0,10.0,present,1,0.6412969827651978,CCMNP-S-R10,20250504_063002,2025-08-15T15:19:55,0,,/Users/alastairpickering/gdrive_mount/pileated_gibbon_production/audio/CCMNP-S-R10_20250504_063002.wav,,,,,,
CCMNP-S-R10_20250504_064302,/Users/alastairpickering/Desktop/gibbon/present_1/present/CCMNP-S-R10_20250504_064302.wav,CCMNP-S-R10_20250504_064302:0.000-10.000,0.0,10.0,present,1,0.8249583840370178,CCMNP-S-R10,20250504_064302,2025-08-15T15:20:43,0,,/Users/alastairpickering/gdrive_mount/pileated_gibbon_production/audio/CCMNP-S-R10_20250504_064302.wav,,,,,,
CCMNP-S-R10_20250504_064502,/Users/alastairpickering/Desktop/gibbon/present_1/present/CCMNP-S-R10_20250504_064502.wav,CCMNP-S-R10_20250504_064502:50.000-58.000,50.0,58.0,present,1,0.7530626654624939,CCMNP-S-R10,20250504_064502,2025-08-15T15:20:46,5,,/Users/alastairpickering/gdrive_mount/pileated_gibbon_production/audio/CCMNP-S-R10_20250504_064502.wav,,,,,,
CCMNP-S-R10_20250504_065102,/Users/alastairpickering/Desktop/gibbon/present_1/present/CCMNP-S-R10_20250504_065102.wav,CCMNP-S-R10_20250504_065102:50.000-58.000,50.0,58.0,present,1,0.8706764578819275,CCMNP-S-R10,20250504_065102,2025-08-15T15:20:50,5,,/Users/alastairpickering/gdrive_mount/pileated_gibbon_production/audio/CCMNP-S-R10_20250504_065102.wav,,,,,,
