file_id,file_path,detection_id,detection_start_s,detection_end_s,presence_label,species_name,detection_probability,recorder_id,date_time,processed_at,segment_idx,embedding_file,audio_file,utm_x,utm_y,station_name,Elevation,habitat_type,location_situation,path,basename,filename_stem,start_s,end_s,class,species_display,FinalLabelEffective,species_name_original,presence_label_original,validation_state,validation_label,validation_species,validated_by,validated_at,validation_method,user_changed,user_changed_by,user_changed_at,validation_state_effective
2MM03352_20250425_110545,/Users/alastairpickering/Desktop/gibbon/present_1/present/2MM03352_20250425_110545.wav,2MM03352_20250425_110545:10.000-15.000,10,15.0,present,1,0.789178193,2MM03352,20250425_110545,2025-08-15T13:34:14,1,,/Users/alastairpickering/gdrive_mount/pileated_gibbon_production/audio/2MM03352_20250425_110545.wav,,,,,,,/Users/alastairpickering/Desktop/gibbon/present_1/present/2MM03352_20250425_110545.wav,2MM03352_20250425_110545,2mm03352_20250425_110545,10,15.0,1,1,present,1,present,,,,,,,0,,,
CCMNP-S-R10_20250503_142302,/Users/alastairpickering/Desktop/gibbon/present_1/present/CCMNP-S-R10_20250503_142302.wav,CCMNP-S-R10_20250503_142302:0.000-10.000,0,10.0,present,1,0.760000288,CCMNP-S-R10,20250503_142302,2025-08-15T13:39:47,0,,/Users/alastairpickering/gdrive_mount/pileated_gibbon_production/audio/CCMNP-S-R10_20250503_142302.wav,,,,,,,/Users/alastairpickering/Desktop/gibbon/present_1/present/CCMNP-S-R10_20250503_142302.wav,CCMNP-S-R10_20250503_142302,ccmnp-s-r10_20250503_142302,0,10.0,1,1,present,1,present,,,,,,,0,,,
CCMNP-S-R10_20250504_051402,/Users/alastairpickering/Desktop/gibbon/present_1/present/CCMNP-S-R10_20250504_051402.wav,CCMNP-S-R10_20250504_051402:10.000-20.000,10,20.0,present,1,0.71842891,CCMNP-S-R10,20250504_051402,2025-08-15T15:09:17,1,,/Users/alastairpickering/gdrive_mount/pileated_gibbon_production/audio/CCMNP-S-R10_20250504_051402.wav,,,,,,,/Users/alastairpickering/Desktop/gibbon/present_1/present/CCMNP-S-R10_20250504_051402.wav,CCMNP-S-R10_20250504_051402,ccmnp-s-r10_20250504_051402,10,20.0,1,1,present,1,present,,,,,,,0,,,
CCMNP-S-R10_20250504_052102,/Users/alastairpickering/Desktop/gibbon/present_1/present/CCMNP-S-R10_20250504_052102.wav,CCMNP-S-R10_20250504_052102:0.000-10.000,0,10.0,present,1,0.708766282,CCMNP-S-R10,20250504_052102,2025-08-15T15:09:43,0,,/Users/alastairpickering/gdrive_mount/pileated_gibbon_production/audio/CCMNP-S-R10_20250504_052102.wav,,,,,,,/Users/alastairpickering/Desktop/gibbon/present_1/present/CCMNP-S-R10_20250504_052102.wav,CCMNP-S-R10_20250504_052102,ccmnp-s-r10_20250504_052102,0,10.0,1,1,present,1,present,,,,,,,0,,,
CCMNP-S-R10_20250504_061502,/Users/alastairpickering/Desktop/gibbon/present_1/present/CCMNP-S-R10_20250504_061502.wav,CCMNP-S-R10_20250504_061502:50.000-58.000,50,58.0,present,1,0.856213272,CCMNP-S-R10,20250504_061502,2025-08-15T15:16:33,5,,/Users/alastairpickering/gdrive_mount/pileated_gibbon_production/audio/CCMNP-S-R10_20250504_061502.wav,,,,,,,/Users/alastairpickering/Desktop/gibbon/present_1/present/CCMNP-S-R10_20250504_061502.wav,CCMNP-S-R10_20250504_061502,ccmnp-s-r10_20250504_061502,50,58.0,1,1,present,1,present,,,,,,,0,,,
CCMNP-S-R10_20250504_062202,/Users/alastairpickering/Desktop/gibbon/present_1/present/CCMNP-S-R10_20250504_062202.wav,CCMNP-S-R10_20250504_062202:0.000-10.000,0,10.0,present,1,0.714960098,CCMNP-S-R10,20250504_062202,2025-08-15T15:16:33,0,,/Users/alastairpickering/gdrive_mount/pileated_gibbon_production/audio/CCMNP-S-R10_20250504_062202.wav,,,,,,,/Users/alastairpickering/Desktop/gibbon/present_1/present/CCMNP-S-R10_20250504_062202.wav,CCMNP-S-R10_20250504_062202,ccmnp-s-r10_20250504_062202,0,10.0,1,1,present,1,present,,,,,,,0,,,
CCMNP-S-R10_20250504_063002,/Users/alastairpickering/Desktop/gibbon/present_1/present/CCMNP-S-R10_20250504_063002.wav,CCMNP-S-R10_20250504_063002:0.000-10.000,0,10.0,present,1,0.641296983,CCMNP-S-R10,20250504_063002,2025-08-15T15:19:55,0,,/Users/alastairpickering/gdrive_mount/pileated_gibbon_production/audio/CCMNP-S-R10_20250504_063002.wav,,,,,,,/Users/alastairpickering/Desktop/gibbon/present_1/present/CCMNP-S-R10_20250504_063002.wav,CCMNP-S-R10_20250504_063002,ccmnp-s-r10_20250504_063002,0,10.0,1,1,present,1,present,,,,,,,0,,,
CCMNP-S-R10_20250504_064302,/Users/alastairpickering/Desktop/gibbon/present_1/present/CCMNP-S-R10_20250504_064302.wav,CCMNP-S-R10_20250504_064302:0.000-10.000,0,10.0,present,1,0.824958384,CCMNP-S-R10,20250504_064302,2025-08-15T15:20:43,0,,/Users/alastairpickering/gdrive_mount/pileated_gibbon_production/audio/CCMNP-S-R10_20250504_064302.wav,,,,,,,/Users/alastairpickering/Desktop/gibbon/present_1/present/CCMNP-S-R10_20250504_064302.wav,CCMNP-S-R10_20250504_064302,ccmnp-s-r10_20250504_064302,0,10.0,1,1,present,1,present,,,,,,,0,,,
CCMNP-S-R10_20250504_064502,/Users/alastairpickering/Desktop/gibbon/present_1/present/CCMNP-S-R10_20250504_064502.wav,CCMNP-S-R10_20250504_064502:50.000-58.000,50,58.0,present,1,0.753062665,CCMNP-S-R10,20250504_064502,2025-08-15T15:20:46,5,,/Users/alastairpickering/gdrive_mount/pileated_gibbon_production/audio/CCMNP-S-R10_20250504_064502.wav,,,,,,,/Users/alastairpickering/Desktop/gibbon/present_1/present/CCMNP-S-R10_20250504_064502.wav,CCMNP-S-R10_20250504_064502,ccmnp-s-r10_20250504_064502,50,58.0,1,1,present,1,present,,,,,,,0,,,
CCMNP-S-R10_20250504_065102,/Users/alastairpickering/Desktop/gibbon/present_1/present/CCMNP-S-R10_20250504_065102.wav,CCMNP-S-R10_20250504_065102:50.000-58.000,50,58.0,present,1,0.870676458,CCMNP-S-R10,20250504_065102,2025-08-15T15:20:50,5,,/Users/alastairpickering/gdrive_mount/pileated_gibbon_production/audio/CCMNP-S-R10_20250504_065102.wav,,,,,,,/Users/alastairpickering/Desktop/gibbon/present_1/present/CCMNP-S-R10_20250504_065102.wav,CCMNP-S-R10_20250504_065102,ccmnp-s-r10_20250504_065102,50,58.0,1,1,present,1,present,,,,,,,0,,,
CCMNP-S-R10_20250504_070002,/Users/alastairpickering/Desktop/gibbon/present_1/present/CCMNP-S-R10_20250504_070002.wav,CCMNP-S-R10_20250504_070002:40.000-50.000,40,50.0,present,1,0.627490342,CCMNP-S-R10,20250504_070002,2025-08-15T15:21:29,4,,/Users/alastairpickering/gdrive_mount/pileated_gibbon_production/audio/CCMNP-S-R10_20250504_070002.wav,,,,,,,/Users/alastairpickering/Desktop/gibbon/present_1/present/CCMNP-S-R10_20250504_070002.wav,CCMNP-S-R10_20250504_070002,ccmnp-s-r10_20250504_070002,40,50.0,1,1,present,1,present,,,,,,,0,,,
CCMNP-S-R10_20250504_070202,/Users/alastairpickering/Desktop/gibbon/present_1/present/CCMNP-S-R10_20250504_070202.wav,CCMNP-S-R10_20250504_070202:20.000-30.000,20,30.0,present,1,0.747897625,CCMNP-S-R10,20250504_070202,2025-08-15T15:21:29,2,,/Users/alastairpickering/gdrive_mount/pileated_gibbon_production/audio/CCMNP-S-R10_20250504_070202.wav,,,,,,,/Users/alastairpickering/Desktop/gibbon/present_1/present/CCMNP-S-R10_20250504_070202.wav,CCMNP-S-R10_20250504_070202,ccmnp-s-r10_20250504_070202,20,30.0,1,1,present,1,present,,,,,,,0,,,
CCMNP-S-R10_20250504_070802,/Users/alastairpickering/Desktop/gibbon/present_1/present/CCMNP-S-R10_20250504_070802.wav,CCMNP-S-R10_20250504_070802:20.000-30.000,20,30.0,present,1,0.649833858,CCMNP-S-R10,20250504_070802,2025-08-15T15:21:36,2,,/Users/alastairpickering/gdrive_mount/pileated_gibbon_production/audio/CCMNP-S-R10_20250504_070802.wav,,,,,,,/Users/alastairpickering/Desktop/gibbon/present_1/present/CCMNP-S-R10_20250504_070802.wav,CCMNP-S-R10_20250504_070802,ccmnp-s-r10_20250504_070802,20,30.0,1,1,present,1,present,,,,,,,0,,,
CCMNP-S-R10_20250504_070802,/Users/alastairpickering/Desktop/gibbon/present_1/present/CCMNP-S-R10_20250504_070802.wav,CCMNP-S-R10_20250504_070802:50.000-58.000,50,58.0,present,1,0.896595061,CCMNP-S-R10,20250504_070802,2025-08-15T15:21:36,5,,/Users/alastairpickering/gdrive_mount/pileated_gibbon_production/audio/CCMNP-S-R10_20250504_070802.wav,,,,,,,/Users/alastairpickering/Desktop/gibbon/present_1/present/CCMNP-S-R10_20250504_070802.wav,CCMNP-S-R10_20250504_070802,ccmnp-s-r10_20250504_070802,50,58.0,1,1,present,1,present,,,,,,,0,,,
